,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
127,Sammie Coates,HST,5,WR,1,1,0,12,0,0,0,0,100.0,7.0,12.0,12.0,5.0,0,0,0,0,0,0,0.0,0.0,0,94.2,0.05,1.7,2018
128,Willie Snead IV,BLT,16,WR,91,62,0,651,0,1,0,5,68.1,8.95,7.15,10.5,4.52,1,0,13,0,0,0,13.0,1.0,0,8.1,0.13,1.64,2018
129,Bennie Fowler,NYG,10,WR,25,16,0,199,0,1,0,1,64.0,10.32,7.96,12.44,4.81,0,0,0,0,0,0,0.0,0.0,0,58.4,0.09,2.12,2018
130,Bruce Ellington,DET,7,WR,42,31,0,224,0,1,0,3,73.8,4.93,5.33,7.23,3.55,1,0,2,0,0,0,2.0,1.0,0,27.0,0.16,1.38,2018
131,Adam Thielen,MIN,16,WR,149,113,3,1373,9,9,1,5,75.8,10.04,9.21,12.15,3.71,5,0,30,0,0,0,6.0,4.2,1,39.7,0.25,2.13,2018
132,Russell Shepard,NYG,12,WR,18,10,2,188,0,2,1,1,55.6,17.56,10.44,18.8,1.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.19,3.58,2018
133,Robert Woods,LA,16,WR,127,86,0,1219,3,6,0,2,67.7,11.81,9.6,14.17,4.98,19,1,157,0,1,0,8.26,3.58,3,69.4,0.21,2.12,2018
134,Cordarrelle Patterson,NE,15,WR,27,21,1,247,0,3,1,1,77.8,6.52,9.15,11.76,7.9,42,0,228,0,1,0,5.43,4.07,9,43.0,0.36,1.3,2018
135,Tavon Austin,DAL,7,WR,12,8,2,140,0,2,1,0,66.7,16.5,11.67,17.5,4.75,6,0,55,0,0,0,9.17,4.0,1,158.8,0.3,2.54,2018
136,Jermaine Kearse,NYJ,14,WR,72,37,0,371,0,1,0,2,51.4,9.46,5.15,10.03,3.32,0,0,0,0,0,0,0.0,0.0,0,194.2,0.1,1.66,2018
