,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
437,Austin Seferian-Jenkins,JAX,5,TE,17,11,0,90,0,1,0,1,64.7,6.71,5.29,8.18,2.73,0,0,0,0,0,0,0.0,0.0,0,0.9,0.09,1.86,2018
438,Eric Ebron,IND,16,TE,108,66,1,750,1,13,1,5,61.1,10.52,6.94,11.36,3.7,3,0,-8,0,1,0,-2.67,-2.0,0,0.0,0.3,2.77,2018
439,Demetrius Harris,KC,15,TE,25,12,0,164,0,3,0,3,48.0,8.92,6.56,13.67,6.42,0,0,0,0,0,0,0.0,0.0,0,3.1,0.11,3.37,2018
440,Jordan Reed,WAS,13,TE,78,54,0,558,0,2,0,2,69.2,6.67,7.15,10.33,4.46,0,0,0,0,0,0,0.0,0.0,0,180.0,0.19,1.76,2018
441,Tyler Eifert,CIN,4,TE,18,15,0,179,0,1,0,1,83.3,10.61,9.94,11.93,3.47,0,0,0,0,0,0,0.0,0.0,0,87.4,0.24,2.09,2018
442,Derek Carrier,OAK,16,TE,11,7,0,67,0,1,0,0,63.6,9.91,6.09,9.57,2.86,0,0,0,0,0,0,0.0,0.0,0,0.0,0.07,2.31,2018
443,Orson Charles,CLV,13,TE,4,3,0,23,0,0,0,1,75.0,4.5,5.75,7.67,8.0,0,0,0,0,0,0,0.0,0.0,0,12.6,0.02,1.27,2018
444,Dwayne Allen,NE,13,TE,4,3,0,27,0,0,0,0,75.0,7.75,6.75,9.0,9.33,0,0,0,0,0,0,0.0,0.0,0,16.7,0.01,1.4,2018
445,Jermaine Gresham,ARZ,13,TE,12,9,0,94,0,0,0,1,75.0,2.17,7.83,10.44,8.33,0,0,0,0,0,0,0.0,0.0,0,23.4,0.03,1.54,2018
446,Marcedes Lewis,GB,16,TE,3,3,0,39,0,0,0,0,100.0,2.67,13.0,13.0,10.33,0,0,0,0,0,0,0.0,0.0,0,33.7,0.03,1.8,2018
447,Vernon Davis,WAS,14,TE,35,25,2,367,0,2,1,2,71.4,11.6,10.49,14.68,6.92,0,0,0,0,0,0,0.0,0.0,0,73.1,0.14,2.45,2018
448,Antonio Gates,LAC,16,TE,44,28,0,333,0,2,0,0,63.6,8.73,7.57,11.89,4.32,0,0,0,0,0,0,0.0,0.0,0,2.1,0.16,2.12,2018
449,Dan Arnold,NO,10,TE,19,12,0,150,0,1,0,1,63.2,10.63,7.89,12.5,2.33,0,0,0,0,0,0,0.0,0.0,0,31.3,0.19,2.25,2018
450,Mark Andrews,BLT,16,TE,48,34,2,552,0,3,1,3,70.8,11.19,11.5,16.24,5.82,0,0,0,0,0,0,0.0,0.0,0,53.1,0.22,2.65,2018
451,Dalton Schultz,DAL,11,TE,16,12,0,116,0,0,0,0,75.0,4.06,7.25,9.67,5.67,0,0,0,0,0,0,0.0,0.0,0,171.6,0.06,1.47,2018
452,Hayden Hurst,BLT,12,TE,21,13,0,163,0,1,0,0,61.9,7.19,7.76,12.54,5.62,1,0,0,0,0,0,0.0,2.0,0,0.0,0.1,2.06,2018
453,Dallas Goedert,PHI,16,TE,43,33,0,334,0,4,0,2,76.7,8.0,7.77,10.12,5.36,0,0,0,0,0,0,0.0,0.0,0,31.7,0.14,2.24,2018
454,Durham Smythe,MIA,15,TE,9,6,0,50,0,0,0,0,66.7,5.0,5.56,8.33,1.67,0,0,0,0,0,0,0.0,0.0,0,38.7,0.05,1.33,2018
455,Tyler Conklin,MIN,16,TE,7,5,0,77,0,0,0,1,71.4,8.71,11.0,15.4,6.0,0,0,0,0,0,0,0.0,0.0,0,92.2,0.07,2.04,2018
456,Jordan Akins,HST,16,TE,24,17,0,225,0,0,0,0,70.8,6.96,9.38,13.24,7.35,0,0,0,0,0,0,0.0,0.0,0,44.0,0.08,1.82,2018
457,Ian Thomas,CAR,15,TE,47,36,0,333,0,2,0,4,76.6,6.98,7.09,9.25,4.17,0,0,0,0,0,0,0.0,0.0,0,0.0,0.12,1.76,2018
458,Jordan Thomas,HST,16,TE,23,20,0,215,0,4,0,1,87.0,6.87,9.35,10.75,5.0,0,0,0,0,0,0,0.0,0.0,0,28.7,0.12,2.77,2018
459,Deon Yelder,KC,1,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,33.4,0.0,0.0,2018
460,Antony Auclair,TB,16,TE,8,7,0,48,0,0,0,0,87.5,4.63,6.0,6.86,1.71,0,0,0,0,0,0,0.0,0.0,0,6.6,0.02,1.19,2018
461,Ross Dwelley,SF,7,TE,2,2,0,14,0,0,0,0,100.0,6.5,7.0,7.0,0.5,0,0,0,0,0,0,0.0,0.0,0,177.2,0.06,1.2,2018
462,Tyrone Swoopes,SEA,1,TE,1,1,0,23,0,0,0,0,100.0,10.0,23.0,23.0,13.0,0,0,0,0,0,0,0.0,0.0,0,20.4,0.1,2.8,2018
463,Johnny Mundt,LA,9,TE,1,1,0,5,0,0,0,0,100.0,0.0,5.0,5.0,5.0,0,0,0,0,0,0,0.0,0.0,0,61.9,0.02,1.0,2018
464,Robert Tonyan,GB,11,TE,5,4,1,77,0,1,1,1,80.0,14.6,15.4,19.25,3.0,0,0,0,0,0,0,0.0,0.0,0,119.7,0.23,3.92,2018
465,Jason Croom,BUF,15,TE,33,22,0,259,0,2,0,2,66.7,8.06,7.85,11.77,6.27,0,0,0,0,0,0,0.0,0.0,0,0.0,0.13,2.22,2018
466,Darrell Daniels,ARZ,7,TE,2,0,0,0,0,0,0,0,0.0,26.5,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,2018
467,Mo Alie-Cox,IND,9,TE,13,7,0,133,0,2,0,2,53.8,12.38,10.23,19.0,6.86,0,0,0,0,0,0,0.0,0.0,0,15.4,0.12,4.11,2018
468,Jacob Hollister,NE,7,TE,5,4,0,52,0,0,0,1,80.0,8.0,10.4,13.0,4.25,0,0,0,0,0,0,0.0,0.0,0,1.2,0.12,1.8,2018
469,Ricky Seals-Jones,ARZ,15,TE,66,34,1,343,0,1,0,4,51.5,9.74,5.2,10.09,2.91,0,0,0,0,0,0,0.0,0.0,0,112.5,0.11,1.69,2018
470,Eric Saubert,ATL,16,TE,9,5,0,48,0,0,0,2,55.6,6.0,5.33,9.6,3.0,0,0,0,0,0,0,0.0,0.0,0,20.3,0.04,1.46,2018
471,Jeremy Sprinkle,WAS,16,TE,8,5,0,41,0,1,0,0,62.5,7.0,5.13,8.2,4.2,0,0,0,0,0,0,0.0,0.0,0,9.8,0.03,2.52,2018
472,Jordan Leggett,NYJ,15,TE,22,14,0,114,0,1,0,1,63.6,6.91,5.18,8.14,3.5,0,0,0,0,0,0,0.0,0.0,0,3.0,0.07,1.74,2018
473,George Kittle,SF,16,TE,128,88,6,1377,4,5,3,6,68.8,7.65,10.76,15.65,9.92,1,0,10,0,0,0,10.0,1.0,0,0.0,0.23,2.39,2018
474,Jake Butt,DEN,3,TE,11,8,0,85,0,0,0,0,72.7,7.0,7.73,10.63,5.25,0,0,0,0,0,0,0.0,0.0,0,71.8,0.13,1.56,2018
475,Michael Roberts,DET,8,TE,18,9,0,100,0,3,0,1,50.0,7.72,5.56,11.11,2.67,0,0,0,0,0,0,0.0,0.0,0,57.9,0.2,3.61,2018
476,Jonnu Smith,TEN,13,TE,29,20,1,258,0,3,1,3,69.0,5.9,8.9,12.9,9.15,0,0,0,0,0,0,0.0,0.0,0,93.0,0.09,2.69,2018
477,Adam Shaheen,CHI,6,TE,6,5,0,48,0,1,0,0,83.3,10.5,8.0,9.6,2.6,0,0,0,0,0,0,0.0,0.0,0,27.6,0.08,2.66,2018
478,Gerald Everett,LA,16,TE,48,33,1,320,0,3,1,1,68.8,7.04,6.67,9.7,4.36,2,0,16,0,0,0,8.0,3.0,1,1.3,0.18,1.95,2018
479,David Njoku,CLV,16,TE,83,56,2,639,0,4,0,8,67.5,9.04,7.7,11.41,5.63,0,0,0,0,0,0,0.0,0.0,0,61.1,0.13,2.07,2018
480,Evan Engram,NYG,11,TE,63,45,2,577,0,3,0,3,71.4,5.54,9.16,12.82,8.67,3,0,36,0,0,0,12.0,6.67,2,5.9,0.21,2.12,2018
481,O.J. Howard,TB,10,TE,47,34,1,565,0,5,1,2,72.3,11.6,12.02,16.62,6.38,0,0,0,0,0,0,0.0,0.0,0,60.3,0.24,3.04,2018
482,Ben Braunecker,CHI,14,TE,5,3,0,42,0,0,0,0,60.0,15.8,8.4,14.0,1.0,0,0,0,0,0,0,0.0,0.0,0,64.7,0.05,1.9,2018
483,Cole Wick,TEN,3,TE,1,0,0,0,0,0,0,1,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,65.7,0.0,0.0,2018
484,Hakeem Valles,DET,3,TE,3,2,0,11,0,0,0,0,66.7,9.33,3.67,5.5,0.5,0,0,0,0,0,0,0.0,0.0,0,25.4,0.07,1.05,2018
485,Alan Cross,TB,14,TE,4,2,0,9,0,0,0,1,50.0,3.75,2.25,4.5,2.5,0,0,0,0,0,0,0.0,0.0,0,62.4,0.02,0.95,2018
486,David Morgan,MIN,11,TE,6,5,0,36,0,0,0,0,83.3,2.17,6.0,7.2,5.2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.03,1.22,2018
487,Temarrick Hemingway,DEN,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1.6,0.0,0.0,2018
488,Seth DeValve,CLV,12,TE,7,5,0,74,0,1,0,0,71.4,12.71,10.57,14.8,3.4,0,0,0,0,0,0,0.0,0.0,0,0.0,0.16,3.18,2018
489,Nick Kwiatkoski,CHI,1,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,70.0,0.0,0.0,2018
490,Tyler Higbee,LA,16,TE,29,24,0,292,0,2,0,1,82.8,7.41,10.07,12.17,5.75,0,0,0,0,0,0,0.0,0.0,0,1.0,0.07,2.22,2018
491,Nick Vannett,SEA,15,TE,40,29,0,269,0,3,0,1,72.5,6.45,6.72,9.28,4.76,0,0,0,0,0,0,0.0,0.0,0,3.7,0.11,2.05,2018
492,Austin Hooper,ATL,16,TE,86,71,0,660,0,4,0,2,82.6,6.97,7.67,9.3,3.25,0,0,0,0,0,0,0.0,0.0,0,4.6,0.16,1.77,2018
493,Chris Manhertz,CAR,16,TE,5,2,1,52,0,1,1,0,40.0,7.2,10.4,26.0,22.5,0,0,0,0,0,0,0.0,0.0,0,21.0,0.04,6.1,2018
494,Daniel Brown,CHI,9,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,13.3,0.0,0.0,2018
495,Brian Parker,DEN,11,TE,8,5,0,33,0,0,0,0,62.5,3.88,4.13,6.6,5.8,0,0,0,0,0,0,0.0,0.0,0,73.4,0.04,1.16,2018
496,Khari Lee,BUF,2,TE,1,1,0,5,0,0,0,0,100.0,-1.0,5.0,5.0,6.0,0,0,0,0,0,0,0.0,0.0,0,1.7,0.02,1.0,2018
497,Matt Lengel,CIN,11,TE,7,3,0,17,0,1,0,0,42.9,5.86,2.43,5.67,2.0,0,0,0,0,0,0,0.0,0.0,0,53.9,0.07,3.07,2018
498,Matt LaCosse,DEN,15,TE,34,24,1,250,0,1,0,1,70.6,5.71,7.35,10.42,6.17,0,0,0,0,0,0,0.0,0.0,0,43.1,0.1,1.79,2018
499,Eric Tomlinson,NYJ,15,TE,13,8,0,72,0,0,0,2,61.5,3.54,5.54,9.0,11.13,0,0,0,0,0,0,0.0,0.0,0,87.2,0.03,1.4,2018
500,Geoff Swaim,DAL,9,TE,30,26,1,242,0,1,0,0,86.7,3.6,8.07,9.31,6.35,0,0,0,0,0,0,0.0,0.0,0,11.9,0.08,1.66,2018
501,Ben Koyack,JAX,7,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,71.3,0.0,0.0,2018
502,Darren Waller,OAK,4,TE,6,6,1,75,0,0,0,0,100.0,2.67,12.5,12.5,9.83,1,0,21,0,0,0,21.0,5.0,0,12.6,0.3,1.8,2018
503,A.J. Derby,MIA,4,TE,5,3,0,48,0,1,0,0,60.0,9.2,9.6,16.0,2.67,0,0,0,0,0,0,0.0,0.0,0,68.9,0.1,4.1,2018
504,Nick Boyle,BLT,16,TE,31,23,0,213,0,0,0,3,74.2,3.45,6.87,9.26,6.26,0,0,0,0,0,0,0.0,0.0,0,14.9,0.05,1.43,2018
505,Jesse James,PIT,16,TE,39,30,2,423,1,2,0,2,76.9,7.87,10.85,14.1,6.13,0,0,0,0,0,0,0.0,0.0,0,0.0,0.12,2.31,2018
506,C.J. Uzomah,CIN,16,TE,63,43,0,439,0,3,0,4,68.3,7.78,6.97,10.21,4.67,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,1.94,2018
507,MyCole Pruitt,TEN,14,TE,11,9,0,102,0,1,0,0,81.8,10.36,9.27,11.33,3.11,0,0,0,0,0,0,0.0,0.0,0,19.2,0.11,2.3,2018
508,Jeff Heuerman,DEN,11,TE,44,31,0,281,0,2,0,3,70.5,5.98,6.39,9.06,4.81,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,1.79,2018
509,Tyler Kroft,CIN,5,TE,5,4,0,36,0,0,0,1,80.0,5.4,7.2,9.0,4.5,0,0,0,0,0,0,0.0,0.0,0,20.0,0.05,1.4,2018
510,Clive Walford,NYJ,1,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,125.9,0.0,0.0,2018
511,Maxx Williams,BLT,13,TE,16,16,0,143,0,1,0,0,100.0,2.94,8.94,8.94,6.0,3,0,8,0,0,0,2.67,1.0,0,25.1,0.08,1.53,2018
512,Jerome Cunningham,DET,3,TE,1,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,152.2,0.0,0.0,2018
513,Cameron Brate,TB,16,TE,48,30,0,289,0,6,0,3,62.5,9.04,6.02,9.63,1.9,0,0,0,0,0,0,0.0,0.0,0,122.7,0.15,2.66,2018
514,Trey Burton,CHI,16,TE,73,54,1,569,1,6,0,3,74.0,8.44,7.79,10.54,3.5,1,0,2,0,0,0,2.0,3.0,0,7.1,0.14,2.18,2018
515,Ryan Hewitt,IND,12,TE,1,1,0,1,0,1,0,0,100.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1.6,0.04,6.6,2018
516,Scott Simonson,NYG,16,TE,13,9,0,86,0,1,0,0,69.2,5.08,6.62,9.56,3.67,0,0,0,0,0,0,0.0,0.0,0,0.0,0.07,2.12,2018
517,Richard Rodgers,PHI,6,TE,1,1,0,7,0,0,0,0,100.0,-3.0,7.0,7.0,10.0,0,0,0,0,0,0,0.0,0.0,0,25.6,0.03,1.2,2018
518,Cyrus Kouandjio,DEN,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.6,0.0,0.0,2018
519,Darren Fells,CLV,16,TE,12,11,1,117,0,3,1,0,91.7,5.83,9.75,10.64,5.91,0,0,0,0,0,0,0.0,0.0,0,13.0,0.08,3.2,2018
520,Jack Doyle,IND,6,TE,32,26,0,245,0,2,0,0,81.3,5.56,7.66,9.42,4.42,0,0,0,0,0,0,0.0,0.0,0,1.4,0.15,1.9,2018
521,Josh Hill,NO,16,TE,23,16,0,185,0,1,0,2,69.6,3.83,8.04,11.56,10.56,0,0,0,0,0,0,0.0,0.0,0,178.1,0.05,2.03,2018
522,Ryan Griffin,HST,14,TE,42,24,1,305,0,0,0,2,57.1,8.52,7.26,12.71,6.33,0,0,0,0,0,0,0.0,0.0,0,34.3,0.06,1.77,2018
523,Luke Willson,DET,14,TE,19,13,0,87,0,0,0,2,68.4,3.74,4.58,6.69,4.77,0,0,0,0,0,0,0.0,0.0,0,59.6,0.04,1.17,2018
524,Levine Toilolo,DET,16,TE,24,21,0,263,0,1,0,0,87.5,7.29,10.96,12.52,5.52,0,0,0,0,0,0,0.0,0.0,0,22.2,0.08,2.04,2018
525,Dion Sims,CHI,8,TE,4,2,0,9,0,0,0,1,50.0,9.25,2.25,4.5,4.0,0,0,0,0,0,0,0.0,0.0,0,49.7,0.01,0.95,2018
526,Travis Kelce,KC,16,TE,139,103,2,1336,5,10,0,8,74.1,9.36,9.61,12.97,5.57,0,0,0,0,0,0,0.0,0.0,0,18.0,0.25,2.38,2018
527,Vance McDonald,PIT,15,TE,67,50,2,610,1,4,1,4,74.6,5.99,9.1,12.2,7.84,0,0,0,0,0,0,0.0,0.0,0,10.7,0.2,2.2,2018
528,Zach Ertz,PHI,16,TE,154,116,0,1163,5,8,0,6,75.3,7.44,7.55,10.03,3.22,0,0,0,0,0,0,0.0,0.0,0,24.4,0.22,1.92,2018
529,Garrett Celek,SF,15,TE,8,5,1,90,0,2,1,1,62.5,11.38,11.25,18.0,8.4,0,0,0,0,0,0,0.0,0.0,0,16.1,0.08,4.7,2018
530,Rhett Ellison,NYG,14,TE,32,25,0,272,0,1,0,2,78.1,6.41,8.5,10.88,5.2,0,0,0,0,0,0,0.0,0.0,0,8.1,0.08,1.83,2018
531,Virgil Green,LAC,16,TE,27,19,0,210,0,1,0,4,70.4,5.07,7.78,11.05,5.47,0,0,0,0,0,0,0.0,0.0,0,0.0,0.05,1.92,2018
532,Charles Clay,BUF,13,TE,32,21,0,184,0,0,0,2,65.6,9.53,5.75,8.76,3.29,0,0,0,0,0,0,0.0,0.0,0,15.4,0.06,1.38,2018
533,Lee Smith,OAK,16,TE,11,10,0,73,0,3,0,0,90.9,3.09,6.64,7.3,5.7,0,0,0,0,0,0,0.0,0.0,0,0.8,0.11,3.03,2018
534,Niles Paul,JAX,6,TE,13,10,0,98,0,0,0,2,76.9,8.15,7.54,9.8,2.8,1,0,-3,0,0,0,-3.0,2.0,0,0.0,0.14,1.32,2018
535,Luke Stocker,TEN,16,TE,21,15,0,165,0,2,0,0,71.4,7.33,7.86,11.0,4.53,1,0,0,0,0,0,0.0,0.0,0,0.0,0.07,2.25,2018
536,Lance Kendricks,GB,16,TE,24,19,0,170,0,1,0,3,79.2,5.67,7.08,8.95,5.95,0,0,0,0,0,0,0.0,0.0,0,71.0,0.1,1.71,2018
537,Kyle Rudolph,MIN,16,TE,76,64,1,634,1,4,1,1,84.2,7.26,8.34,9.91,3.83,0,0,0,0,0,0,0.0,0.0,0,93.1,0.13,1.87,2018
538,Logan Paulsen,ATL,15,TE,9,9,0,91,0,1,0,0,100.0,3.67,10.11,10.11,6.67,0,0,0,0,0,0,0.0,0.0,0,40.4,0.05,2.18,2018
539,Jimmy Graham,GB,16,TE,83,55,1,636,1,2,0,3,66.3,9.73,7.66,11.56,4.71,0,0,0,0,0,0,0.0,0.0,0,90.3,0.13,1.87,2018
540,Ed Dickson,SEA,10,TE,13,12,1,143,0,3,0,0,92.3,7.31,11.0,11.92,6.58,1,0,9,0,0,0,9.0,8.0,0,79.0,0.11,3.02,2018
541,Rob Gronkowski,NE,13,TE,71,47,1,682,2,3,0,2,66.2,12.54,9.61,14.51,3.79,0,0,0,0,0,0,0.0,0.0,0,11.9,0.13,2.33,2018
542,Clinton McDonald,OAK,5,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,2018
543,John Phillips,ARZ,8,TE,3,3,0,38,0,0,0,0,100.0,10.0,12.67,12.67,2.67,0,0,0,0,0,0,0.0,0.0,0,207.8,0.04,1.77,2018
544,Jared Cook,OAK,16,TE,99,68,1,896,4,6,0,5,68.7,8.59,9.05,13.18,5.31,0,0,0,0,0,0,0.0,0.0,0,64.5,0.21,2.35,2018
545,Greg Olsen,CAR,9,TE,39,27,0,291,0,4,0,1,69.2,8.92,7.46,10.78,3.3,0,0,0,0,0,0,0.0,0.0,0,83.1,0.16,2.47,2018
546,Delanie Walker,TEN,1,TE,7,4,0,52,0,0,0,0,57.1,7.14,7.43,13.0,4.75,0,0,0,0,0,0,0.0,0.0,0,26.0,0.18,1.8,2018
547,Benjamin Watson,NO,16,TE,44,35,0,400,0,2,0,2,79.5,10.41,9.09,11.43,2.4,0,0,0,0,0,0,0.0,0.0,0,0.0,0.14,1.99,2018
