"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"MyCole Pruitt","TEN","14","TE","11","9","0","102","0","1","0","0","81.8","10.36","9.27","11.33","3.11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","20.7","0.11","2.3"
"Jeff Heuerman","DEN","11","TE","44","31","0","281","0","2","0","3","70.5","5.98","6.39","9.06","4.81","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","55.6","0.1","1.79"
"Tyler Kroft","CIN","5","TE","5","4","0","36","0","0","0","1","80","5.4","7.2","9","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.6","0.05","1.4"
"Clive Walford","NYJ","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Maxx Williams","BLT","13","TE","16","16","0","143","0","1","0","0","100","2.94","8.94","8.94","6","","","","","","","","","","","","3","0","8","0","0","0","2.67","1","0","0","0","","","","","","","","","0","0","29.1","0.08","1.53"
"Jerome Cunningham","DET","3","TE","1","0","0","0","0","0","0","0","0","3","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cameron Brate","TB","16","TE","48","30","0","289","0","6","0","3","62.5","9.04","6.02","9.63","1.9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","79.9","0.15","2.66"
"Trey Burton","CHI","16","TE","73","54","1","569","1","6","0","3","74","8.44","7.79","10.54","3.5","","","","","","","","","","","","1","0","2","0","0","0","2","3","0","0","1","","","","","","","","","1","1","120.1","0.14","2.18"
"Ryan Hewitt","IND","12","TE","1","1","0","1","0","1","0","0","100","1","1","1","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.6","0.04","6.6"
"Scott Simonson","NYG","16","TE","13","9","0","86","0","1","0","0","69.2","5.08","6.62","9.56","3.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19.1","0.07","2.12"
