"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Derek Carrier","OAK","15","TE","19","13","0","108","0","1","0","1","68.4","9.63","5.68","8.31","3.85","","","","","","","","","","","","1","0","27","0","0","0","27","1","0","0","0","","","","","","","","","0","0","26","0.15","1.86"
"Garrett Celek","SF","5","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Virgil Green","LAC","15","TE","11","9","0","78","0","1","0","0","81.8","5.27","7.09","8.67","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.3","0.05","2.03"
"Lee Smith","BUF","16","TE","5","4","0","31","0","1","0","0","80","7.4","6.2","7.75","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.1","0.03","2.77"
"Luke Stocker","ATL","15","TE","14","8","0","53","0","0","0","1","57.1","4.64","3.79","6.63","4.38","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","9.3","0.02","1.16"
"Lance Kendricks","LAC","9","TE","7","3","0","50","0","0","0","0","42.9","10.43","7.14","16.67","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.5","0.07","2.17"
"Jimmy Graham","GB","16","TE","58","38","1","447","0","3","0","3","65.5","10.31","7.71","11.76","6.68","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","81.7","0.13","2.15"
"Jared Cook","NO","14","TE","62","43","2","705","0","9","1","5","69.4","11.44","11.37","16.4","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","146","0.29","3.4"
"Greg Olsen","CAR","14","TE","81","52","1","597","1","2","0","1","64.2","9.2","7.37","11.48","4.21","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","97.7","0.12","1.88"
"Marcedes Lewis","GB","16","TE","18","15","0","156","0","1","0","1","83.3","5.89","8.67","10.4","5.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","29.1","0.06","1.94"
"Vernon Davis","WAS","4","TE","17","10","1","123","0","1","1","1","58.8","6.41","7.24","12.3","7.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.3","0.13","2.33"
"Benjamin Watson","NE","10","TE","23","17","0","173","0","0","0","2","73.9","8.48","7.52","10.18","5.18","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","25.8","0.06","1.52"
"Jason Witten","DAL","16","TE","82","63","0","529","0","4","0","6","76.8","6.54","6.45","8.4","2.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","1","2","108.4","0.13","1.72"
